fish,trial,frame,frame_raw,time_ms,pt_num,landmark,x,y,z
bass_1,s01,24,209,23,8,quad,6.52553583319976,5.72776557617725,6.051576453508905
bass_1,s01,24,209,23,2,so,7.288789,5.641038,6.499119
bass_1,s01,24,209,23,7,uro,6.036001,5.5747,5.314378
bass_1,s01,25,210,24,5,basi,5.738771,5.508273,5.208331
bass_1,s01,25,210,24,3,eye,6.025475,6.97075,6.3519
bass_1,s01,25,210,24,1,lj,4.457717,5.609614,4.770954
bass_1,s01,25,210,24,6,p2,9.918272350216329,5.653027811787605,6.955839011084542
bass_1,s01,25,210,24,4,pm,4.654343,7.084211,4.919103
bass_1,s01,25,210,24,8,quad,6.438689902486531,5.557356244212213,5.972338017692268
bass_1,s01,25,210,24,2,so,7.158438,5.627121,6.496563
bass_1,s01,25,210,24,7,uro,5.975751,5.492626,5.268782
bass_1,s01,26,211,25,5,basi,5.674635,5.403716,5.174088
bass_1,s01,26,211,25,3,eye,5.917024,6.970848,6.307001
bass_1,s01,26,211,25,1,lj,4.401727,5.498434,4.777566
bass_1,s01,26,211,25,6,p2,9.84523776558768,5.627788399673744,6.947958710664743
bass_1,s01,26,211,25,4,pm,4.535153,7.105154,4.846118
bass_1,s01,26,211,25,8,quad,6.289698882198836,5.534554863381032,5.9901742479412325
bass_1,s01,26,211,25,2,so,7.022052,5.59737,6.50263
bass_1,s01,26,211,25,7,uro,5.929221,5.389401,5.253121
bass_1,s01,27,212,26,5,basi,5.569979,5.313329,5.128496
bass_1,s01,27,212,26,3,eye,5.809782,6.967621,6.262059
bass_1,s01,27,212,26,1,lj,4.3425,5.355317,4.724359
bass_1,s01,27,212,26,6,p2,9.772602203199842,5.602712341261803,6.93959331220195
bass_1,s01,27,212,26,4,pm,4.402737,7.115437,4.786308
bass_1,s01,27,212,26,8,quad,6.183358778344811,5.530764056515996,6.014864647425646
bass_1,s01,27,212,26,2,so,6.89633,5.559125,6.51746
bass_1,s01,27,212,26,7,uro,5.920859,5.3151,5.22344
bass_1,s01,28,213,27,5,basi,5.535519,5.247604,5.050816
bass_1,s01,28,213,27,3,eye,5.724967,6.960476,6.223551
bass_1,s01,28,213,27,1,lj,4.261837,5.259004,4.654895
bass_1,s01,28,213,27,6,p2,9.701128966742822,5.5775093062794445,6.929789590642775
bass_1,s01,28,213,27,4,pm,4.258351,7.113617,4.75215
bass_1,s01,28,213,27,8,quad,6.095594230478354,5.459626521903351,6.012298000958864
bass_1,s01,28,213,27,2,so,6.787994,5.545442,6.506653
bass_1,s01,28,213,27,7,uro,5.892476,5.221621,5.178764
bass_1,s01,29,214,28,5,basi,5.442206,5.208933,4.994452
bass_1,s01,29,214,28,3,eye,5.600053,6.950578,6.196782
bass_1,s01,29,214,28,1,lj,4.200555,5.167179,4.596985
bass_1,s01,29,214,28,6,p2,9.630311631075816,5.552049695113679,6.919583191291917
bass_1,s01,29,214,28,4,pm,4.146472,7.122322,4.718276
bass_1,s01,29,214,28,8,quad,5.985565713823497,5.425171318315846,5.975891265520173
bass_1,s01,29,214,28,2,so,6.654706,5.555566,6.513736
bass_1,s01,29,214,28,7,uro,5.821987,5.133849,5.118998
bass_1,s01,30,215,29,5,basi,5.300999,5.132011,4.949032
bass_1,s01,30,215,29,3,eye,5.522887,6.939445,6.176866
bass_1,s01,30,215,29,1,lj,4.110599,5.079174,4.501652
bass_1,s01,30,215,29,6,p2,9.560093639767423,5.525281397343665,6.907562281373196
bass_1,s01,30,215,29,4,pm,4.056447,7.188588,4.697059
bass_1,s01,30,215,29,8,quad,5.880244304683875,5.417310181991358,5.9763114894659655
bass_1,s01,30,215,29,2,so,6.507826,5.542214,6.515667
bass_1,s01,30,215,29,7,uro,5.790382,5.056203,5.109499
bass_1,s01,31,216,30,5,basi,5.229519,5.053287,4.893608
bass_1,s01,31,216,30,3,eye,5.43488,6.932878,6.156901
